Week,Michael Jackson: (Worldwide),Zendaya: (Worldwide)
2015-08-01,31,9
2015-08-08,31,9
2015-08-15,30,8
2015-08-22,37,9
2015-08-29,33,9
2015-09-05,29,6
2015-09-12,28,7
2015-09-19,29,7
2015-09-26,30,8
2015-10-03,31,6
2015-10-10,31,6
2015-10-17,33,9
2015-10-24,36,6
2015-10-31,31,6
2015-11-07,30,5
2015-11-14,29,5
2015-11-21,30,7
2015-11-28,30,5
2015-12-05,29,6
2015-12-12,30,5
2015-12-19,33,6
2015-12-26,34,8
2016-01-02,30,6
2016-01-09,33,7
2016-01-16,31,7
2016-01-23,35,7
2016-01-30,33,7
2016-02-06,39,7
2016-02-13,32,15
2016-02-20,32,8
2016-02-27,31,7
2016-03-05,29,8
2016-03-12,31,9
2016-03-19,30,8
2016-03-26,30,7
2016-04-02,31,7
2016-04-09,30,9
2016-04-16,57,7
2016-04-23,42,7
2016-04-30,33,7
2016-05-07,29,6
2016-05-14,30,5
2016-05-21,31,7
2016-05-28,32,7
2016-06-04,29,6
2016-06-11,28,5
2016-06-18,62,6
2016-06-25,41,5
2016-07-02,31,6
2016-07-09,28,6
2016-07-16,29,8
2016-07-23,29,7
2016-07-30,28,8
2016-08-06,26,6
2016-08-13,26,13
2016-08-20,27,12
2016-08-27,40,9
2016-09-03,33,8
2016-09-10,29,5
2016-09-17,42,7
